name,category,count_reviews,score,release_date,developer,popular_tags,price_without_black_friday,price_black_friday,game_area_platform
Citizen Sleeper,"Adventure Games,Fellow Traveller Franchise","2,291",Overwhelmingly Positive,"5 May, 2022",Jump Over The Age,"Cyberpunk,RPG,Choices Matter,Futuristic,Exploration,Tabletop,Choose Your Own Adventure,Interactive Fiction,Text-Based,Conversation,Story Rich,3D,Multiple Endings,Sci-fi,Hand-drawn,Space,Artificial Intelligence,Atmospheric,Singleplayer,Narrative",435 pуб.,"884,70 pуб.",mac win 
Space Haven,Simulation Games,"5,787",Very Positive,"21 May, 2020",Bugbyte Ltd.,"Base Building,Space,Colony Sim,Simulation,Strategy,Survival,Sci-fi,Sandbox,Management,City Builder,Resource Management,Indie,Building,Exploration,Open World,Early Access,Space Sim,Singleplayer,Pixel Graphics,Crafting",449 pуб.,"1033,20 pуб.",mac win linux
Death and Taxes,"Indie Games,Placeholder Gameworks Franchise","3,000",Very Positive,"20 Feb, 2020",Placeholder Gameworks,"Simulation,Strategy,Point & Click,Story Rich,Choices Matter,Puzzle,Casual,Choose Your Own Adventure,Replay Value,Multiple Endings,Interactive Fiction,Adventure,Narrative,Atmospheric,Dark Comedy,Indie,2D,Conversation,Character Customization,Singleplayer",Free Demo,119 pуб.,mac win linux
Five Nights at Freddy's,Indie Games,"31,122",Very Positive,"18 Aug, 2014",Scott Cawthon,"Horror,Singleplayer,Survival Horror,Robots,Psychological Horror,Difficult,Indie,First-Person,Point & Click,Dark,Survival,Atmospheric,Mouse only,Supernatural,Resource Management,Silent Protagonist,Jump Scare,Lore-Rich,Short,Historical",133 pуб.,,win 
Assetto Corsa - Dream Pack 3,"Indie Games,Assetto Corsa Official Franchise,Assetto Corsa,Downloadable Content",173,Very Positive,"15 Dec, 2015",Kunos Simulazioni,"Racing,Sports,Simulation,Indie",175 pуб.,"992,50 pуб.",win 
FlatOut 4: Total Insanity,Racing Games,"1,439",Mixed,"4 Apr, 2017",Kylotonn,"Racing,Automobile Sim,Multiplayer,Destruction,Action,Arcade,Driving,Singleplayer,Physics,Open World",51 pуб.,99 pуб.,win 
ASTLIBRA Revision,Action Games,"5,327",Overwhelmingly Positive,"13 Oct, 2022",KEIZO,"2D,Action RPG,Side Scroller,JRPG,Spectacle fighter,Metroidvania,Drama,Time Travel,Fantasy,RPG,Dragons,Action,Swordplay,Demons,Gothic,Futuristic,Modern,Mythology,Adventure,Supernatural",465 pуб.,,win 
Dorfromantik,Strategy Games,"19,237",Overwhelmingly Positive,"28 Apr, 2022",Toukana Interactive,"City Builder,Simulation,Puzzle,Indie,Strategy,Turn-Based Strategy,Turn-Based Tactics,Open World,Relaxing,Sandbox,Board Game,Singleplayer,Family Friendly,Controller,Casual,Minimalist,3D,Procedural Generation,Hand-drawn,Stylized",309 pуб.,"914,40 pуб.",win 
Little Inferno,"Indie Games,Tomorrow Corporation Franchise","6,362",Overwhelmingly Positive,"19 Nov, 2012",Tomorrow Corporation,"Casual,Indie,Singleplayer,Puzzle,Satire,Funny,Comedy,Short,Great Soundtrack,Adventure,Dark Humor,Sandbox,Atmospheric,Story Rich,Dark,Touch-Friendly,2D,Point & Click,Surreal,Parody",360 pуб.,"1687,50 pуб.",mac win linux
Darkest Dungeon®,RPG Games,"103,191",Very Positive,"19 Jan, 2016",Red Hook Studios,"Turn-Based Combat,Dark Fantasy,Dungeon Crawler,Roguelike,RPG,Lovecraftian,Difficult,Turn-Based,Singleplayer,Perma Death,Strategy,Atmospheric,Dark,Indie,2D,Roguelite,Horror,Gothic,Fantasy,Kickstarter",449 pуб.,"1063,80 pуб.",mac win linux
